Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.1010000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5000000E-05, 0.0000000E+00, 0.5000000E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2142857E-05, 0.0000000E+00,-0.2142857E-05, 0.3379121E+00, 0.1126374E+01, 0.0000000E+00, 0.1001143E+01, 0.0000000E+00, 0.0000000E+00
 0.1020000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1000000E-04, 0.0000000E+00, 0.1000000E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4285714E-05, 0.0000000E+00,-0.4285714E-05, 0.6758242E+00, 0.2252747E+01, 0.0000000E+00, 0.2002286E+01, 0.0000000E+00, 0.0000000E+00
 0.1035000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1750000E-04, 0.0000000E+00, 0.1750000E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7500000E-05, 0.0000000E+00,-0.7500000E-05, 0.1182692E+01, 0.3942308E+01, 0.0000000E+00, 0.3504000E+01, 0.0000000E+00, 0.0000000E+00
 0.1057500E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2875000E-04, 0.0000000E+00, 0.2875000E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1232143E-04, 0.0000000E+00,-0.1232143E-04, 0.1942994E+01, 0.6476648E+01, 0.0000000E+00, 0.5756571E+01, 0.0000000E+00, 0.0000000E+00
 0.1091250E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4562500E-04, 0.0000000E+00, 0.4562500E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1955357E-04, 0.0000000E+00,-0.1955357E-04, 0.3083448E+01, 0.1027816E+02, 0.0000000E+00, 0.9135428E+01, 0.0000000E+00, 0.0000000E+00
 0.1141875E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7093750E-04, 0.0000000E+00, 0.7093750E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.3040178E-04, 0.0000000E+00,-0.3040178E-04, 0.4794128E+01, 0.1598043E+02, 0.0000000E+00, 0.1420371E+02, 0.0000000E+00, 0.0000000E+00
 0.1217812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1089062E-03, 0.0000000E+00, 0.1089062E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4667411E-04, 0.0000000E+00,-0.4667411E-04, 0.7360147E+01, 0.2453382E+02, 0.0000000E+00, 0.2180614E+02, 0.0000000E+00, 0.0000000E+00
 0.1317812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1589062E-03, 0.0000000E+00, 0.1589062E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6810268E-04, 0.0000000E+00,-0.6810268E-04, 0.1073927E+02, 0.3579756E+02, 0.0000000E+00, 0.3181757E+02, 0.0000000E+00, 0.0000000E+00
 0.1417812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2089062E-03, 0.0000000E+00, 0.2089062E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8953125E-04, 0.0000000E+00,-0.8953125E-04, 0.1411839E+02, 0.4706130E+02, 0.0000000E+00, 0.4182900E+02, 0.0000000E+00, 0.0000000E+00
 0.1517813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2589062E-03, 0.0000000E+00, 0.2589062E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1109598E-03, 0.0000000E+00,-0.1109598E-03, 0.1749751E+02, 0.5832504E+02, 0.0000000E+00, 0.5184043E+02, 0.0000000E+00, 0.0000000E+00
 0.1617813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.3089063E-03, 0.0000000E+00, 0.3089063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1323884E-03, 0.0000000E+00,-0.1323884E-03, 0.2087663E+02, 0.6958877E+02, 0.0000000E+00, 0.6185185E+02, 0.0000000E+00, 0.0000000E+00
 0.1717813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.3589063E-03, 0.0000000E+00, 0.3589063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1538170E-03, 0.0000000E+00,-0.1538170E-03, 0.2425575E+02, 0.8085251E+02, 0.0000000E+00, 0.7186328E+02, 0.0000000E+00, 0.0000000E+00
 0.1817813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4089063E-03, 0.0000000E+00, 0.4089063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1752455E-03, 0.0000000E+00,-0.1752455E-03, 0.2763487E+02, 0.9211624E+02, 0.0000000E+00, 0.8187471E+02, 0.0000000E+00, 0.0000000E+00
 0.1917813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4589063E-03, 0.0000000E+00, 0.4589063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1966741E-03, 0.0000000E+00,-0.1966741E-03, 0.3101399E+02, 0.1033800E+03, 0.0000000E+00, 0.9188614E+02, 0.0000000E+00, 0.0000000E+00
