Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.1141875E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7093750E-04, 0.0000000E+00, 0.7093750E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.3040178E-04, 0.0000000E+00,-0.3040178E-04, 0.4794128E+01, 0.1598043E+02, 0.0000000E+00, 0.1420371E+02, 0.0000000E+00, 0.0000000E+00
 0.1317812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1589062E-03, 0.0000000E+00, 0.1589062E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6810268E-04, 0.0000000E+00,-0.6810268E-04, 0.1073927E+02, 0.3579756E+02, 0.0000000E+00, 0.3181757E+02, 0.0000000E+00, 0.0000000E+00
 0.1417812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2089062E-03, 0.0000000E+00, 0.2089062E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8953125E-04, 0.0000000E+00,-0.8953125E-04, 0.1411839E+02, 0.4706130E+02, 0.0000000E+00, 0.4182900E+02, 0.0000000E+00, 0.0000000E+00
 0.1517813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2589062E-03, 0.0000000E+00, 0.2589062E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1109598E-03, 0.0000000E+00,-0.1109598E-03, 0.1749751E+02, 0.5832504E+02, 0.0000000E+00, 0.5184043E+02, 0.0000000E+00, 0.0000000E+00
 0.1617813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.3089063E-03, 0.0000000E+00, 0.3089063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1323884E-03, 0.0000000E+00,-0.1323884E-03, 0.2087663E+02, 0.6958877E+02, 0.0000000E+00, 0.6185185E+02, 0.0000000E+00, 0.0000000E+00
 0.1717813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.3589063E-03, 0.0000000E+00, 0.3589063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1538170E-03, 0.0000000E+00,-0.1538170E-03, 0.2425575E+02, 0.8085251E+02, 0.0000000E+00, 0.7186328E+02, 0.0000000E+00, 0.0000000E+00
 0.1817813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4089063E-03, 0.0000000E+00, 0.4089063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1752455E-03, 0.0000000E+00,-0.1752455E-03, 0.2763487E+02, 0.9211624E+02, 0.0000000E+00, 0.8187471E+02, 0.0000000E+00, 0.0000000E+00
 0.1917813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4589063E-03, 0.0000000E+00, 0.4589063E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1966741E-03, 0.0000000E+00,-0.1966741E-03, 0.3101399E+02, 0.1033800E+03, 0.0000000E+00, 0.9188614E+02, 0.0000000E+00, 0.0000000E+00
 0.2020000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5100000E-03, 0.0000000E+00, 0.5100000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2185714E-03, 0.0000000E+00,-0.2185714E-03, 0.3446703E+02, 0.1148901E+03, 0.0000000E+00, 0.1021166E+03, 0.0000000E+00, 0.0000000E+00
